,title,price,description,colour,category
5897,jacquard knit sweater,39.99,"pringle of scotland x h&m/conscious. soft, chunky knit sweater with wool content. ribbed mock turtleneck, jacquard knit yoke, heavily dropped shoulders, and long, wide sleeves. wide ribbing at cuffs, and hem. polyester content is recycled. polyester 50%, acrylic 45%, wool 5%",gray dark gray cream gray patterned,outerwear
5898,straight cut coat,59.99,"straight cut coat with a soft, brushed finish. narrow, notched lapels, concealed snap fasteners at front, and welt side pockets. unlined. pocket lining: polyester 100%",light gray melange,outerwear
5899,v neck jersey top,4.99,"conscious. fitted top in soft, organic cotton jersey with a v neck and short sleeves. cotton 95%, elastane 5%",black,tops
5900,fine knit sweater,24.99,"sweater in a fine knit with wool content. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. slits at sides. slightly longer at back. acrylic 52%, polyester 27%, polyamide 12%, elastane 6%, wool 3%",dark gray melange,outerwear
5901,lyocell shorts,24.99,"conscious. short tencel® lyocell shorts. elasticized drawstring waistband, side pockets, and two mock welt back pockets. short slits at hems. lyocell 100%",light blue,shorts
5902,faux fur jacket,49.99,"jacket in supersoft faux fur. collar, concealed snap fasteners at front, and patch front pockets. lined. polyester 100%",light beige,outerwear
5903,crinkled jumpsuit,24.99,"jumpsuit in woven, crinkled viscose fabric. shallow v neck, narrow shoulder straps crossed at back, and seam at waist with removable tie belt. viscose 100%",dark gray,outerwear
5904,long wool blend coat,299.00,"premium quality. fitted, calf length coat in a woven, herringbone weave wool blend with a clean silhouette. oversized notch lapels, concealed buttons at front, and adjustable tab at cuffs with button. wide, adjustable belt above waist with tone on tone buttons. welt side pockets, one inner pocket, and a vent at back. lining in woven viscose fabric. wool 76%, polyamide 24%",dark blue,outerwear
5905,leggings,12.99,"leggings in extra thick jersey with an elasticized waistband. cotton 95%, elastane 5%",black black yellow,pants
5906,textured weave skirt,29.99,"short skirt in textured weave fabric with a sheen. high waist, pleats at top, concealed zip at back, and side pockets. unlined. polyester 88%, viscose 12%",red,skirts
5907,sweatshirt,17.99,"soft, relaxed fit sweatshirt with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. soft, brushed inside. cotton 60%, polyester 40%",light beige,outerwear
5908,corduroy bib overalls,49.99,"bib overalls in cotton corduroy with adjustable suspenders. buttons at front, zip fly, and side pockets. removable belt at waist. cotton 99%, elastane 1%",black,pants
5909,ankle length chinos,24.99,"ankle length chinos in stretch cotton fabric with a regular waist and zip fly with button. side pockets, mock welt back pockets, and straight cut, gently tapered legs with creases. cotton 97%, elastane 3%",black,pants
5910,super skinny high jeans,19.99,"conscious. 5 pocket, ankle length jeans in washed, superstretch denim. high waist, zip fly with button, and super skinny legs. made partly from recycled cotton. pocket lining: copolyester 65%, cotton 35%",denim blue,jeans
5911,double breasted coat,59.99,"fitted, double breasted coat in felted, woven fabric. collar, decorative pocket flaps at front, and vent at back. lined. polyester 86%, viscose 12%, elastane 2%",black,outerwear
5912,paper bag skirt,29.99,"short skirt in woven fabric. high, paper bag waist, pleats at top, and removable tie belt. side pockets, decorative buttons at front, and concealed side zip. unlined. linen 55%, viscose 45%",white,skirts
5913,fine knit cashmere pants,129.00,"premium quality. fine knit pants in soft cashmere with a wide, ribbed, elasticized waistband. straight, wide legs with roll edge hems. cashmere 100%",dark blue,pants
5914,cotton jumpsuit,29.99,"playsuit in woven cotton fabric with a resort collar. buttons at front, chest pockets with flap and button, and a tie belt at waist. cotton 100%",beige,outerwear
5915,short printed hooded top,29.99,"short, lightweight sweatshirt with a printed design. drawstring hood with wrapover front, heavily dropped shoulders, and long sleeves with ribbed cuffs. lining: cotton 100%",black black guns n' roses,outerwear
5916,short jersey skirt,12.99,"short jersey skirt with concealed elastication at waist. viscose 80%, polyester 15%, elastane 5%",khaki green beige khaki green patterned,skirts
5917,a line skirt,29.99,"knee length, a line skirt in faux leather. high waist, snap fasteners and concealed side zip, and decorative seams at front and back. unlined. coating: polyurethane 100%",black,skirts
5918,snakeskin print leggings,29.99,"leggings in jersey with a printed snakeskin patterned design. elasticized waistband. polyester 93%, elastane 7%",black,bottoms
5919,long jacket,34.99,"long jacket in jersey with narrow, notched lapels and front pockets. unlined. cotton 60%, polyester 38%, elastane 2%",black,outerwear
5920,padded hooded jacket,69.99,"longer, padded jacket in woven fabric. lined hood with drawstring, zip at front, and seam at waist with drawstring. concealed side pockets with zip and concealed elastication at cuffs and hem. lined. padding: polyester 100%",dark beige,outerwear
5921,faux fur jacket,59.99,"short jacket in patterned faux fur with a collar. concealed hook and eye fasteners at front, side seam pockets, and elasticized cuffs with light gathers. lined. polyester 100%",natural white natural white dotted,outerwear
5922,denim bib overall shorts,17.99,"bib overall shorts in washed denim with heavily distressed details. adjustable suspenders with metal fasteners. bib pocket, side pockets, and back pockets. buttons at sides and frayed, raw edge hems. cotton 100%",dark denim blue,shorts
5923,modal turtleneck top,9.99,"fitted turtleneck top in soft modal jersey with long sleeves. modal 95%, elastane 5%",black white black white dotted,outerwear
5924,wool blend hooded sweater,99.00,"premium quality. sweater in soft wool blend knit fabric with alpaca content. wrapover hood, heavily dropped shoulders, and long dolman sleeves. wide, elasticized knit trim at hem. polyamide 35%, alpaca 33%, wool 32%",black,outerwear
5925,patterned blouse,12.99,wide cut blouse in woven viscose fabric with a printed pattern. opening at back of neck with button. short sleeves. viscose 100%,white vintage pink green white roses,tops
5926,short coat,69.99,"conscious. boxy coat in soft, felted fabric with wool content. notched lapels, buttons at front, welt front pockets with flap, and decorative buttons at cuffs. vent at back. lined. polyester content is partly recycled. polyester content of lining is recycled. lining: polyester 100%",light beige melange,outerwear
5927,skinny fit pants,19.99,"5 pocket pants in washed superstretch twill. regular waist, zip fly with button, and skinny legs. cotton 66%, polyester 30%, viscose 3%, elastane 1%",denim blue denim blue washed,pants
5928,short skirt,29.99,short skirt in faux leather with decorative seams. visible zip at back. lined. coating: polyurethane 100%,black,skirts
5929,wool blend sweater,69.99,"long, knit sweater in a soft alpaca and wool blend. wrapover cowl neck, dropped shoulders, and long, wide sleeves that taper to cuffs. ribbing at cuffs and hem. polyester 32%, alpaca 30%, wool 20%, polyamide 14%, elastane 4%",light khaki green,outerwear
5930,v neck blouse,24.99,"relaxed fit blouse in woven, crêped viscose fabric. v neck, gathered yoke at back, heavily dropped shoulders, and long sleeves with button at cuffs. rounded and longer hem at back. viscose 100%",powder pink,tops
5931,slip style dress,19.99,"ankle length dress in soft jersey. v neck, narrow, adjustable shoulder straps, and slits at sides. viscose 100%",black,dress
5932,wool blend coat,129.00,"fitted coat in a soft, felted wool blend. notched lapels, concealed snap fasteners at front, removable tie belt at waist, and side seam pockets. vent at back. lined. wool 50%, polyester 42%, acrylic 3%, polyamide 3%, viscose 2%",dark blue beige dark blue checked,outerwear
5933,cashmere sweater,119.00,"premium quality. long sleeved, fine knit sweater in soft cashmere with ribbing at neckline, cuffs, and hem. cashmere 100%",dark mustard yellow,outerwear
5934,pima cotton shirt,59.99,"premium quality. straight cut shirt in cool, slightly stretchy fabric made from woven pima cotton fabric. pointed turn down collar and slightly wider, classic button placket. long raglan sleeves with high slits and button at cuffs. rounded hem with slits at sides and slightly longer back section. cotton 100%",cream,tops
5935,v neck tunic,24.99,"tunic in airy, woven fabric with a rounded stand up collar, v neck and buttons at front, and yoke at back with gathers for a relaxed fit. long sleeves with rounded cuffs with buttons. rounded hem, longer at back. polyester 100%",light beige red pink beige light brown light beige floral,tops
5936,silk blouse,119.00,"premium quality. straight cut blouse in silk fabric. band collar, buttons at front, and double yoke with seams on shoulders and at back. long sleeves, narrow cuffs with buttons, and straight cut hem with slits at sides. slightly longer at back. silk 100%",blue light beige blue checked,tops
5937,oversized shirt dress,34.99,"oversized shirt dress in viscose twill. turn down collar, buttons without placket, and yoke at back. dropped shoulders, long sleeves with buttons at cuffs, and a rounded hem. viscose 100%",black,tops
5938,cotton blend joggers,12.99,"lightweight sweatpant joggers made from a cotton blend. covered, elasticized waistband with drawstring and tapered legs with jersey ribbing at hems. elastic ribbing: cotton 95%, elastane 5%",gray melange,bottoms
5939,knit turtleneck sweater,29.99,"boxy turtleneck sweater in a soft knit with wool content. dropped shoulders, long sleeves, and ribbing at cuffs and hem. acrylic 62%, polyamide 28%, wool 8%, elastane 2%",light beige melange,outerwear
5940,fine knit pants,29.99,"pants in softly draped, fine knit fabric. regular waist, covered, elasticized waistband, and straight, wide legs. viscose 42%, acrylic 42%, polyamide 16%",black,pants
5941,hooded jacket,24.99,"soft, wide cut sweatshirt jacket with a drawstring hood, concealed zip at front, and long raglan sleeves. ribbing at cuffs and hem. polyester 75%, viscose 25%",natural white,outerwear
5942,jacquard knit cardigan,49.99,"jacquard knit cardigan in a soft cotton blend. dropped shoulders, long, wide sleeves, and side pockets. removable tie belt at waist. no buttons. acrylic 55%, cotton 45%",natural white dark gray beige light gray natural white patterned,outerwear
5943,double breasted jacket,34.99,"straight cut, double breasted jacket in woven fabric. notched lapels and front pockets with flap. lined. lining: polyester 100%",gray dark brown black dark orange gray checked,outerwear
5944,silk blend velvet pants,129.00,"wide leg pants in lightly crinkled, silk blend velvet. wide, covered, elasticized waistband, side seam pockets, and straight legs. pocket lining: viscose 100%",dark red,pants
5945,crêped blouse,17.99,"blouse in woven, crêped fabric with a collar, buttons at front, and yoke at back with pleat. long sleeves with button at cuffs. rounded hem. polyester 100%",beige white beige houndstooth-patterned,tops
5946,short jersey camisole top,9.99,"short camisole top in soft, ribbed jersey with a v neck at front and straight cut back. narrow shoulder straps. cotton 95%, elastane 5%",beige,tops
5947,off the shoulder jumpsuit,24.99,"off the shoulder jumpsuit in woven viscose fabric. elasticized upper edge, elasticized seam at waist, short, wide sleeves, and short legs. upper section: rubber 100%",red,outerwear
5948,silk shirt,99.00,"premium quality. shirt in softly draped, crêped silk fabric. collar, concealed buttons at front, and yoke at back with box pleat. buttons at cuffs. rounded hem, longer at back. silk 100%",light beige black light beige striped,tops
